model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,km/L,km,km/LNorm,kmNorm,gastos-en-km/L,Transmision Automatica,Transmision Manual,Transmision Semi-Automatica
 Edge,2016,18640,Manual,24105,Diesel,160.0,48.7,2.0,20,38793.140699999996,0.24132804757185333,0.13569273378217106,Bajo,0,1,0
 Fiesta,2015,6700,Manual,28935,Petrol,30.0,54.3,1.2,23,46566.2529,0.2690782953419227,0.1628819436626061,Bajo,0,1,0
 Fiesta,2018,9498,Manual,30925,Petrol,113.41793211255025,65.7,1.0,27,49768.8395,0.32556987115956393,0.17408412330278533,Bajo,0,1,0
 Focus,2018,13698,Manual,13418,Petrol,145.0,58.9,1.0,25,21594.12412,0.2918731417244797,0.07553308864920853,Bajo,0,1,0
 Fiesta,2018,13298,Manual,13756,Petrol,145.0,58.9,1.0,25,22138.08104,0.2918731417244797,0.07743577041723897,Bajo,0,1,0
 Kuga,2015,14398,Manual,25175,Diesel,145.0,54.3,2.0,23,40515.1345,0.2690782953419227,0.14171601630226746,Bajo,0,1,0
 Fiesta,2017,8998,Manual,21267,Petrol,145.0,64.2,1.1,27,34225.83378,0.31813676907829536,0.11971696201391546,Bajo,0,1,0
 Fiesta,2019,12698,Manual,12130,Petrol,145.0,56.5,1.0,24,19521.2942,0.27998017839444994,0.06828263268109253,Bajo,0,1,0
 Fiesta,2019,11998,Manual,17354,Petrol,113.41793211255025,56.5,1.0,24,27928.48636,0.27998017839444994,0.09768976154556303,Bajo,0,1,0
 Fiesta,2019,13498,Manual,15822,Petrol,145.0,58.9,1.0,25,25462.97748,0.2918731417244797,0.08906577199342505,Bajo,0,1,0
 Fiesta,2019,13498,Manual,10557,Petrol,145.0,58.9,1.0,25,16989.80238,0.2918731417244797,0.059427844452950844,Bajo,0,1,0
 Focus,2016,9698,Manual,20786,Petrol,20.0,61.4,1.0,26,33451.74124,0.3042616451932606,0.11700929949787216,Bajo,0,1,0
 Focus,2016,24995,Manual,7997,Petrol,235.0,36.7,2.3,15,12869.89198,0.18186323092170467,0.04501700029272027,Bajo,0,1,0
 Fiesta,2017,9895,Manual,19079,Petrol,113.41793211255025,65.7,1.0,27,30704.59786,0.32556987115956393,0.1074001936457184,Bajo,0,1,0
 Fiesta,2018,12995,Manual,14979,Petrol,145.0,58.9,1.0,25,24106.30386,0.2918731417244797,0.08432032604534911,Bajo,0,1,0
 Tourneo Connect,2015,9295,Manual,47904,Diesel,125.0,56.5,1.6,24,77093.82336,0.27998017839444994,0.2696629213483146,Bajo,0,1,0
 Fiesta,2016,8495,Manual,24410,Petrol,125.0,54.3,1.2,23,39283.9894,0.2690782953419227,0.13740965076219855,Bajo,0,1,0
 Fiesta,2019,13895,Manual,13600,Petrol,145.0,58.9,1.0,25,21887.024,0.2918731417244797,0.07655760960122492,Bajo,0,1,0
 Focus,2018,18298,Manual,21456,Diesel,145.0,67.3,2.0,28,34529.99904,0.33349851337958375,0.1207808876179325,Bajo,0,1,0
 Focus,2015,9198,Manual,31512,Diesel,0.0,74.3,1.5,31,50713.52208,0.3681863230921705,0.1773884848348382,Bajo,0,1,0
 Fiesta,2016,10798,Manual,11843,Petrol,113.41793211255025,65.7,1.0,27,19059.41362,0.32556987115956393,0.06666704194906667,Bajo,0,1,0
 Fiesta,2016,8998,Manual,31373,Petrol,113.41793211255025,65.7,1.0,27,50489.82382,0.32556987115956393,0.17660602103082568,Bajo,0,1,0
 Kuga,2018,18498,Manual,7796,Diesel,145.0,54.3,1.5,23,12546.414639999999,0.2690782953419227,0.04388552385670216,Bajo,0,1,0
 Kuga,2017,13498,Manual,26597,Diesel,145.0,54.3,2.0,23,42803.61598,0.2690782953419227,0.14972078989439552,Bajo,0,1,0
 Kuga,2017,14998,Manual,15978,Diesel,30.0,64.2,1.5,27,25714.03452,0.31813676907829536,0.0899439328094391,Bajo,0,1,0
 Kuga,2017,13998,Automatic,13265,Petrol,240.0,38.2,1.5,16,21347.8951,0.18929633300297327,0.07467181554119474,Bajo,1,0,0
 EcoSport,2016,9998,Manual,20491,Petrol,125.0,52.3,1.0,22,32976.98594,0.2591674925668979,0.11534867487784557,Bajo,0,1,0
 Tourneo Connect,2017,10998,Manual,16310,Petrol,125.0,50.4,1.0,21,26248.3354,0.24975222993062438,0.091812839161469,Bajo,0,1,0
 Focus,2017,17698,Manual,14557,Petrol,113.41793211255025,41.5,2.0,17,23427.16238,0.2056491575817641,0.08194478845331112,Bajo,0,1,0
 Focus,2017,11498,Semi-Auto,30917,Petrol,125.0,51.4,1.0,21,49755.96478,0.25470763131813673,0.17403908941478463,Bajo,0,0,1
 Focus,2017,12798,Manual,22153,Diesel,145.0,74.3,1.5,31,35651.70902,0.3681863230921705,0.12470446510999528,Bajo,0,1,0
 C-MAX,2015,8698,Manual,31743,Petrol,30.0,55.4,1.0,23,51085.27962,0.2745292368681863,0.17868883835085903,Bajo,0,1,0
 Kuga,2019,19495,Manual,13673,Diesel,145.0,47.9,2.0,20,22004.50582,0.2373637264618434,0.07696854382923149,Bajo,0,1,0
 Fiesta,2018,9995,Manual,25776,Petrol,145.0,65.7,1.0,27,41482.34784,0.32556987115956393,0.1450991871383216,Bajo,0,1,0
 Focus,2016,10995,Manual,30923,Diesel,0.0,74.3,1.5,31,49765.62082,0.3681863230921705,0.17407286483078516,Bajo,0,1,0
 Kuga,2017,13998,Manual,24504,Diesel,150.0,64.2,1.5,27,39435.26736,0.31813676907829536,0.137938798946207,Bajo,0,1,0
 Fiesta,2017,11998,Manual,6568,Petrol,145.0,62.8,1.0,26,10570.14512,0.311199207135778,0.036972822048591564,Bajo,0,1,0
 Tourneo Connect,2016,8998,Manual,42960,Diesel,30.0,61.4,1.5,26,69137.2464,0.3042616451932606,0.24183197856386932,Bajo,0,1,0
 Kuga,2018,16698,Manual,5117,Diesel,113.41793211255025,54.3,1.5,23,8234.99278,0.2690782953419227,0.028804800612460876,Bajo,0,1,0
 EcoSport,2016,8998,Manual,31736,Petrol,125.0,53.3,1.0,22,51074.01424,0.2641228939544103,0.17864943369885836,Bajo,0,1,0
 Fiesta,2015,7998,Manual,19212,Petrol,0.0,65.7,1.0,27,30918.64008,0.32556987115956393,0.10814888203373038,Bajo,0,1,0
 Fiesta,2018,12495,Manual,12426,Petrol,145.0,65.7,1.0,27,19997.65884,0.32556987115956393,0.06994888653711918,Bajo,0,1,0
 Ka+,2017,7995,Manual,12872,Petrol,145.0,57.7,1.2,24,20715.42448,0.2859266600594648,0.07245952579315935,Bajo,0,1,0
 Puma,2020,21995,Manual,4111,Petrol,145.0,50.4,1.0,21,6615.99674,0.24975222993062438,0.023141789196370267,Bajo,0,1,0
 Kuga,2018,16995,Manual,34690,Diesel,145.0,60.1,2.0,25,55828.0046,0.2978196233894945,0.19527819684312445,Bajo,0,1,0
 Fiesta,2018,11995,Manual,32168,Petrol,145.0,65.7,1.0,27,51769.24912,0.32556987115956393,0.1810812636508973,Bajo,0,1,0
 Kuga,2019,19995,Manual,11312,Diesel,145.0,47.9,2.0,20,18204.85408,0.2373637264618434,0.06367791763301885,Bajo,0,1,0
 Fiesta,2017,8995,Manual,31559,Petrol,145.0,65.7,1.0,27,50789.16106,0.32556987115956393,0.17765305892684244,Bajo,0,1,0
 Ka+,2017,8295,Manual,23000,Petrol,145.0,57.7,1.2,24,37014.82,0.2859266600594648,0.12947242800207154,Bajo,0,1,0
 EcoSport,2018,14698,Manual,6442,Petrol,145.0,54.3,1.0,23,10367.36828,0.2690782953419227,0.03626353831258022,Bajo,0,1,0
 Fiesta,2016,10498,Semi-Auto,29590,Petrol,0.0,57.7,1.0,24,47620.3706,0.2859266600594648,0.1665690932426651,Bajo,0,0,1
 Focus,2018,14495,Manual,17030,Petrol,145.0,57.7,1.0,24,27407.0602,0.2859266600594648,0.09586588908153384,Bajo,0,1,0
 Focus,2016,8995,Manual,22493,Petrol,20.0,60.1,1.0,25,36198.88462,0.2978196233894945,0.1266184053500259,Bajo,0,1,0
 Focus,2016,15995,Manual,29600,Diesel,113.41793211255025,67.3,2.0,28,47636.464,0.33349851337958375,0.166625385602666,Bajo,0,1,0
 C-MAX,2016,10995,Semi-Auto,26500,Diesel,125.0,58.9,2.0,25,42647.51,0.2918731417244797,0.1491747540023868,Bajo,0,0,1
 Tourneo Custom,2017,19995,Manual,14000,Diesel,200.0,44.8,2.0,19,22530.76,0.222001982160555,0.07880930400126093,Bajo,0,1,0
 C-MAX,2013,8295,Manual,34783,Diesel,30.0,61.4,1.6,26,55977.67322,0.3042616451932606,0.1958017157911328,Bajo,0,1,0
 Focus,2015,7995,Manual,56655,Diesel,113.41793211255025,67.3,1.6,28,91177.1577,0.33349851337958375,0.31892436558510273,Bajo,0,1,0
 Kuga,2019,19995,Manual,16000,Diesel,150.0,47.9,2.0,20,25749.44,0.2373637264618434,0.09006777600144107,Bajo,0,1,0
 Mondeo,2015,9995,Manual,30753,Diesel,0.0,78.5,1.5,33,49492.03302,0.38899900891972244,0.17311589471076985,Bajo,0,1,0
 Grand C-MAX,2018,13495,Manual,1030,Petrol,145.0,47.9,1.0,20,1657.6202,0.2373637264618434,0.00579811308009277,Bajo,0,1,0
 C-MAX,2017,12995,Manual,7817,Petrol,145.0,55.4,1.0,23,12580.21078,0.2745292368681863,0.04400373781270406,Bajo,0,1,0
 Focus,2018,12995,Manual,9781,Petrol,113.41793211255025,60.1,1.0,25,15740.95454,0.2978196233894945,0.055059557316880954,Bajo,0,1,0
 EcoSport,2018,12998,Manual,17241,Petrol,145.0,54.3,1.0,23,27746.63094,0.2690782953419227,0.09705365787755285,Bajo,0,1,0
 Tourneo Connect,2015,10298,Manual,28309,Diesel,125.0,58.9,1.6,25,45558.80606,0.2918731417244797,0.15935804192654973,Bajo,0,1,0
 Fiesta,2017,10498,Manual,50599,Petrol,0.0,65.7,1.0,27,81430.99466,0.32556987115956393,0.2848337123685573,Bajo,0,1,0
 Focus,2018,11298,Semi-Auto,37880,Diesel,150.0,74.3,1.5,31,60961.7992,0.3681863230921705,0.21323545968341176,Bajo,0,0,1
 Kuga,2016,10698,Manual,56888,Diesel,125.0,60.1,2.0,25,91552.13392,0.2978196233894945,0.3202359775731237,Bajo,0,1,0
 Focus,2018,15995,Manual,10500,Petrol,145.0,60.1,1.0,25,16898.07,0.2978196233894945,0.059106978000945706,Bajo,0,1,0
 B-MAX,2014,6995,Semi-Auto,50800,Petrol,160.0,44.1,1.6,18,81754.472,0.21853320118929634,0.2859651888045754,Bajo,0,0,1
 Fiesta,2019,13950,Manual,6700,Petrol,113.41793211255025,58.9,1.0,25,10782.578,0.2918731417244797,0.03771588120060345,Bajo,0,1,0
 Fiesta,2017,10650,Manual,31800,Petrol,150.0,65.7,1.0,27,51177.012,0.32556987115956393,0.17900970480286416,Bajo,0,1,0
 Fiesta,2016,7995,Manual,20700,Petrol,125.0,54.3,1.2,23,33313.338,0.2690782953419227,0.1165251852018644,Bajo,0,1,0
 Focus,2016,11495,Manual,29900,Diesel,0.0,74.3,1.5,31,48119.266,0.3681863230921705,0.16831415640269304,Bajo,0,1,0
 Kuga,2018,16995,Manual,32858,Diesel,145.0,54.3,2.0,23,52879.69372,0.2690782953419227,0.18496543649095945,Bajo,0,1,0
 Fiesta,2018,11995,Manual,31593,Petrol,145.0,65.7,1.0,27,50843.87862,0.32556987115956393,0.1778444529508455,Bajo,0,1,0
 Focus,2015,10995,Manual,13791,Petrol,125.0,51.4,1.5,21,22194.40794,0.25470763131813673,0.07763279367724213,Bajo,0,1,0
 Kuga,2019,20495,Manual,12034,Diesel,145.0,47.9,2.0,20,19366.79756,0.2373637264618434,0.06774222602508387,Bajo,0,1,0
 Focus,2018,19995,Manual,10923,Diesel,145.0,67.3,2.0,28,17578.82082,0.33349851337958375,0.06148814482898381,Bajo,0,1,0
 Kuga,2019,19995,Manual,10171,Diesel,145.0,38.2,2.0,16,16368.59714,0.18929633300297327,0.057254959356916074,Bajo,0,1,0
 Focus,2016,10995,Manual,30923,Diesel,0.0,74.3,1.5,31,49765.62082,0.3681863230921705,0.17407286483078516,Bajo,0,1,0
 EcoSport,2019,18995,Manual,2291,Petrol,145.0,52.3,1.0,22,3686.99794,0.2591674925668979,0.012896579676206344,Bajo,0,1,0
 Focus,2017,11995,Manual,23469,Petrol,125.0,51.4,1.5,21,37769.60046,0.25470763131813673,0.1321125396861138,Bajo,0,1,0
 Kuga,2017,16998,Manual,13626,Diesel,125.0,60.1,2.0,25,21928.86684,0.2978196233894945,0.07670396973722725,Bajo,0,1,0
 Fiesta,2016,7398,Manual,35180,Petrol,125.0,54.3,1.2,23,56616.5812,0.2690782953419227,0.19803652248316858,Bajo,0,1,0
 Fiesta,2019,11498,Manual,17708,Petrol,145.0,58.9,1.0,25,28498.19272,0.2918731417244797,0.09968251108959492,Bajo,0,1,0
 Fiesta,2019,13998,Manual,9957,Petrol,145.0,58.9,1.0,25,16024.19838,0.2918731417244797,0.0560503028528968,Bajo,0,1,0
 Focus,2019,16698,Manual,4542,Petrol,145.0,60.1,1.0,25,7309.62228,0.2978196233894945,0.025567989912409085,Bajo,0,1,0
 Mondeo,2016,9998,Manual,38358,Diesel,0.0,78.5,1.5,33,61731.06372,0.38899900891972244,0.2159262344914548,Bajo,0,1,0
 Focus,2015,12998,Manual,25878,Diesel,20.0,67.3,2.0,28,41646.50052,0.33349851337958375,0.14567336921033078,Bajo,0,1,0
 EcoSport,2016,9998,Semi-Auto,18325,Petrol,160.0,44.8,1.5,19,29491.1555,0.222001982160555,0.10315574970165049,Bajo,0,0,1
 Focus,2017,12498,Manual,9338,Petrol,145.0,60.1,1.0,25,15028.01692,0.2978196233894945,0.05256580576884105,Bajo,0,1,0
 EcoSport,2018,14998,Manual,7133,Diesel,145.0,58.9,1.5,25,11479.42222,0.2918731417244797,0.040153340388642454,Bajo,0,1,0
 Focus,2017,10498,Manual,42002,Petrol,20.0,60.1,1.0,25,67595.49868,0.2978196233894945,0.23643917047578303,Bajo,0,1,0
 Kuga,2017,16995,Automatic,3700,Petrol,145.0,38.2,1.5,16,5954.558,0.18929633300297327,0.02082817320033325,Bajo,1,0,0
 Focus,2019,15495,Manual,5600,Petrol,145.0,60.1,1.0,25,9012.304,0.2978196233894945,0.03152372160050438,Bajo,0,1,0
 Fiesta,2015,9495,Manual,17288,Petrol,0.0,65.7,1.0,27,27822.26992,0.32556987115956393,0.09731823196955708,Bajo,0,1,0
 B-MAX,2013,5995,Manual,42996,Diesel,20.0,70.6,1.6,30,69195.18264,0.3498513379583746,0.24203463105987252,Bajo,0,1,0
 Focus,2014,7498,Manual,47566,Petrol,30.0,56.5,1.0,24,76549.86644,0.27998017839444994,0.26776023958028417,Bajo,0,1,0
 Fiesta,2017,11798,Manual,4262,Petrol,0.0,65.7,1.0,27,6859.00708,0.32556987115956393,0.02399180383238387,Bajo,0,1,0
 Fiesta,2017,10998,Manual,10125,Petrol,145.0,65.7,1.0,27,16294.5675,0.32556987115956393,0.05699601450091193,Bajo,0,1,0
 Focus,2017,14998,Automatic,17028,Petrol,150.0,46.3,1.5,19,27403.841519999998,0.22943508424182357,0.09585463060953366,Bajo,1,0,0
 Fiesta,2017,8998,Manual,12753,Petrol,145.0,54.3,1.2,23,20523.91302,0.2690782953419227,0.07178964670914863,Bajo,0,1,0
 Focus,2016,13998,Manual,24895,Diesel,20.0,67.3,2.0,28,40064.5193,0.33349851337958375,0.14013983022224222,Bajo,0,1,0
 Focus,2017,17998,Manual,9066,Petrol,145.0,41.5,2.0,17,14590.27644,0.2056491575817641,0.05103465357681655,Bajo,0,1,0
 Fiesta,2019,18998,Manual,3292,Petrol,145.0,40.3,1.5,17,5297.94728,0.19970267591674926,0.018531444912296503,Bajo,0,1,0
 Kuga,2013,9198,Semi-Auto,48130,Diesel,200.0,45.6,2.0,19,77457.5342,0.22596630327056494,0.27093512868433495,Bajo,0,0,1
